Sample	Group
A-	TST_NEG.media
B-	TST_NEG.media
G-	TST_NEG.media
L-	TST_NEG.media
M-	TST_NEG.media
N-	TST_NEG.media
T-	TST_NEG.media
U-	TST_NEG.media
ZF-	TST_NEG.media
ZG-	TST_NEG.media
A-TB	TST_NEG.tb
B-TB	TST_NEG.tb
G-TB	TST_NEG.tb
L-TB	TST_NEG.tb
M-TB	TST_NEG.tb
N-TB	TST_NEG.tb
T-TB	TST_NEG.tb
U-TB	TST_NEG.tb
ZF-TB	TST_NEG.tb
ZG-TB	TST_NEG.tb
C-	TST_POS.media
D-	TST_POS.media
E-	TST_POS.media
H-	TST_POS.media
I-	TST_POS.media
J-	TST_POS.media
K-	TST_POS.media
O-	TST_POS.media
P-	TST_POS.media
Q-	TST_POS.media
R-	TST_POS.media
S-	TST_POS.media
V-	TST_POS.media
X-	TST_POS.media
ZD-	TST_POS.media
ZE-	TST_POS.media
ZH-	TST_POS.media
ZI-	TST_POS.media
C-TB	TST_POS.tb
D-TB	TST_POS.tb
E-TB	TST_POS.tb
H-TB	TST_POS.tb
I-TB	TST_POS.tb
J-TB	TST_POS.tb
K-TB	TST_POS.tb
O-TB	TST_POS.tb
P-TB	TST_POS.tb
Q-TB	TST_POS.tb
R-TB	TST_POS.tb
S-TB	TST_POS.tb
V-TB	TST_POS.tb
X-TB	TST_POS.tb
ZD-TB	TST_POS.tb
ZE-TB	TST_POS.tb
ZH-TB	TST_POS.tb
ZI-TB	TST_POS.tb
